virusUprot,humanUprot
P03470,Q9C035
P15682,P63010
P03427,Q07020
P03430,P46821
P03470,Q13155
P15659,Q07955
P15682,P51532
P15659,P30153
P03454,P62854
P05777,P15311
P05777,P10599
P15659,Q16891
P03454,P07900
P03454,P09429
P03470,Q9Y399
P05777,P02511
P15682,P26599
P15682,P31946
P05780,P06576
P03430,P16989
P05780,Q68E01
P03454,P61313
P03431,P07900
P03430,O95232
P03430,P23588
P05777,P12268
P03470,P17096
P03470,P60709
Q20MH0,Q9NY65
P15682,P62851
P05777,Q8NBQ5
P15682,Q7L2H7
P03470,P35251
P03427,O00232
P15682,Q86V48
P05777,Q8NC51
P03470,P33992
P03454,P80723
P05780,P02511
P15682,P50990
P03470,Q13885
Q82506,P35544
P15682,Q99615
P03470,P07737
P03496,Q9BUJ2
P03470,P80723
P03496,O00459
P05777,P17987
P03427,Q01130
P03430,P62701
P03427,Q9Y224
P15682,Q13509
P03427,P50914
P05780,O00303
P03470,Q8WWY3
P15659,P42677
P15682,Q14331
P03430,P22626
P05777,Q13247
P03470,P07339
P15682,Q09028
P05777,Q9NVV4
P03430,Q07020
P03427,P23588
P05777,Q13148
P03427,O15371
P15659,P25686
P05780,Q15008
P05777,P62854
P15659,Q96SI9
P05777,P61254
P03454,P06748
P03470,Q7L014
P15682,P11940
P03427,P46782
P03470,P61163
P03470,P35249
P03430,O60884
P15682,Q6FI13
P15682,P62995
P03427,Q00577
P03427,P61353
P05777,P49588
P03430,Q14974
P15682,P09651
P05780,P07900
P15682,P60660
P15682,P0C0S5
P03470,P27348
P03430,Q9Y3U8
P15659,P15880
P03430,Q96AG4
P05777,P04843
P03454,P12236
P05777,P61026
P03470,P13647
P05777,O95232
P05780,P08238
P03454,O43852
P15682,P11388
Q82506,Q8TD20
P05777,Q7KZF4
P05777,P07237
P03430,Q06830
P15682,Q7L2J0
P05780,O00571
P03454,P50990
P05780,P62913
P15682,Q2NL82
P03470,O75688
P03427,Q9UNK9
P05777,O75688
Q82506,P61353
P03470,Q9H173
P05780,P52272
P15682,P62249
P05777,P40937
P03470,Q16891
P15682,P17987
P05777,P28072
P03470,Q6P2Q9
P15659,Q15427
P05777,Q9BQA1
P03454,P51991
P03454,P25789
P03427,P29692
P03427,O95817
P03427,P63244
P15682,P67936
P03454,Q9GZQ8
P03470,P0C0S8
P03470,Q9BQA1
P03454,P43686
P03430,P0C0S8
Q82506,P49207
P03454,P51114
P15659,P13639
P03454,P27824
Q1K9H5,P68104
P03485,P63244
P03431,Q6PYX1
Q1K9H5,P02794
P03508,Q13077
H9XIJ5,Q6ZMV9
H9XIJ5,Q9NXX6
P03431,P35637
P03427,O95071
P05780,P54136
P05780,P61106
P05777,P12814
P15682,P05787
P03470,P31153
P03430,Q9BZE4
P05777,P98175
P03427,Q5T4S7
P15682,Q00610
P05780,P37235
P15682,P52294
P15659,P36578
P15682,Q02543
P05780,Q8N2K0
P03427,P26599
P15682,Q86YP4
P05780,Q92945
P03454,Q99733
P03470,P05141
P03470,P08708
P05777,P62888
P15682,Q99729
P03454,P50914
P05780,P50990
P05777,P62424
P15682,Q14203
P15659,P11142
P05777,P04350
P03470,Q9UNM6
P03470,P78527
P05777,Q9UBX3
P03427,P05787
P03427,Q8WZ42
P03470,P13010
P03430,P18077
P05777,P60842
P15682,Q9Y2Q9
P03470,P11021
P15682,P08621
P03427,P13645
P03427,P62807
P03470,P62191
P05777,P18085
P15659,Q9Y3B4
P15659,Q13813
P03430,P83111
P03470,P62701
P15682,O14979
P03454,P30050
P03470,P36776
P05780,P30154
P03496,P19525
P15682,Q9Y696
P05777,Q9NUL3
P15659,Q8TD20
P03454,P23246
P05780,Q99733
P03454,Q16891
P15682,O75934
P15682,P62333
P03430,P46781
P05780,P55209
P05780,Q6YHU6
P05777,Q13895
P03470,Q9HCE6
P05777,P62937
P15682,Q99459
P03454,P18124
P03430,P26368
P05777,P11387
P15682,Q9NRX1
P03430,P83881
P03454,P25398
P03470,P15311
P05777,P68371
P03430,Q92522
P03427,Q15365
P05777,Q04637
P15659,P06493
P03454,Q8WWP7
P05777,P49137
P03470,Q8WU90
P03470,P32969
P15682,P38646
Q82506,Q13243
P05777,Q9UNM6
P03430,Q96HS1
P05777,P60903
P05777,P50402
P03427,Q15393
P05777,O43324
P15682,Q9BVI4
P03427,Q9H078
P05777,Q9NVI7
P15659,P62979
P05780,P39656
P15682,Q14011
P05777,Q8WU90
P15682,P13010
P05780,Q04637
P03470,O75534
P15682,P46781
P03470,P26368
P05780,P29692
P15659,Q03135
P05777,O15355
P05777,P17980
P05777,P07437
P05777,O43175
P03470,Q02543
P03427,O75688
P15682,Q9Y265
P15682,Q9BTE7
P03427,P51991
P03454,Q13438
P05780,P23396
Q82506,P62424
P15659,Q06830
P05780,Q9P035
P15682,O95816
P03470,P50454
Q89733,P11021
P03470,P11940
P15659,O75688
P03430,P60660
Q20MH0,Q99729
P03470,P31946
P05780,P83731
Q82506,P06737
P03430,P62851
P05777,Q96N67
P03427,P63220
P03430,P36578
P15659,P60660
P03454,P42766
P05780,P11021
P05780,Q9NU22
P03470,P63313
P15659,P62249
P15659,Q9BUF5
P05777,P00533
P05780,Q06830
P15682,Q9BQ67
Q82506,P62979
P03427,P46821
P05780,Q99747
P15682,P14625
Q82506,Q13573
P03430,Q13435
P15682,P15311
P05780,Q86Y56
P05777,P26368
Q20MH0,P62081
P05777,Q12905
P15659,Q14315
P03427,P98175
P03430,Q96EY1
P03430,P61254
P03470,Q14697
P03427,Q15717
P03470,Q9UMS4
P03427,Q13200
P03470,O75390
P05780,Q9H4A6
P03454,P35908
P03470,O00303
P15682,P50991
P15682,Q9H814
P05777,P27348
P03470,P23458
P15682,P56537
P15682,Q8IWX8
P15682,P62081
P15682,Q9UKM9
P03454,Q8IXK0
P03430,P11277
P15659,Q12905
P05780,P60468
P03427,P35527
P03470,P10599
P03470,Q09028
P05777,P11021
P05780,P33947
P15682,O15372
P15659,P36542
P03470,P27797
P03430,P06730
P05777,P52597
P05780,P61353
P05777,Q9Y224
P03470,O00487
Q20MH0,P07437
Q82506,P36578
P03430,Q9BQ67
P05777,Q9H2U1
P05777,Q9UL46
Q99AU3,P46108
Q1K9H5,P51948
Q1K9H5,Q13287
Q1K9H5,Q7RTY1
H9XIJ5,Q13287
H9XIJ5,O00299
H9XIJ5,P30876
H9XIJ5,P25685
P05777,P25205
P05780,P48643
Q20MH0,Q92522
P03470,P05455
P15659,P60468
P05777,P83731
P03470,Q8TF72
P05777,Q9H0A0
P15659,Q07666
P03454,Q13247
P15659,Q9BQA1
P15682,Q9NR30
P05777,P53999
P03454,P62316
P05780,Q07021
Q82506,P62917
P03470,P62277
P03454,Q07065
P03454,P30101
P03470,P34932
P05780,P08865
P15682,P62847
P05777,O60884
P03470,P17987
P05780,P13639
P03470,P30050
P15659,P50914
P05777,Q9P2R3
P05780,P31689
P05780,Q8IUR0
P03427,P62917
P05777,Q8TEX9
P03454,P11908
P03430,P25686
P15659,Q9NS86
P03470,P62328
P05780,P62249
P03430,P52732
Q82506,Q13151
P05780,Q9Y6C9
P03427,P52294
P05777,Q2TB90
P15659,P10809
Q20MH0,Q02878
Q82506,Q14103
P03470,Q8TDL5
P03427,Q15149
P15682,Q9H0A0
P15682,P50914
P03427,Q99615
P05780,P55084
P05777,Q14839
P05777,Q14258
P15682,P42677
P03496,P78406
P03470,Q9BPX3
P15682,O95373
P03430,Q5BJE1
Q20MH0,P61247
P15682,Q92665
P05777,P49755
P05777,Q96IX5
P03470,P62308
P03470,Q9P035
Q82506,P98179
P03470,P20810
P03454,P35527
P03427,P07900
P05780,Q00266
P03470,P61247
P05780,P40939
P15682,P04637
P05780,P26641
P03454,Q07666
P03427,Q99729
P03427,O75533
P03470,Q8WUA2
P05780,P62277
P03427,P42677
P15659,Q13247
Q20MH0,P50991
P05777,Q02978
P05777,P31946
P15682,Q13838
P05777,P35998
P03430,P25205
P15682,Q96HS1
P15682,Q92945
P03470,P06748
P03430,Q13310
P05780,P60953
P05780,P05141
P03430,Q9UMS4
P15659,P40227
P03427,Q9Y657
Q82506,Q96L21
P05777,Q75N03
P05777,O43242
P03470,Q8N1W1
P15659,O60506
P03454,Q86YZ3
P05777,P30041
P15659,P84090
P15682,Q8WVM0
P05780,P68032
Q82506,Q8WWY3
P03427,P08708
P15682,P78362
P15682,Q92598
P03430,Q01081
P03427,P46783
P05777,P24534
Q20MH0,P49368
P03454,O43143
P03454,P07305
P03430,Q9NR30
P15659,P46783
P03454,P46782
P03470,P78362
P15682,P52907
P05777,Q99623
P03470,P35544
P03454,Q02878
P05780,O00622
P05777,O15042
P05777,P37802
Q99AU3,P46108
P05780,Q9NVJ2
P15682,Q9Y3D9
P15682,P46783
P03470,Q96SB4
